V1 V2 V3 V4 V5 V6 V7 V8
11 16892117 3 726 138 139 4 11
11 16845671 3 725 137 138 4 11
11 16290245 3 724 136 130 4 11
11 15284701 3 722 128 124 4 11
11 14536145 3 721 122 120 4 11
11 13564890 3 719 118 115 4 11
11 13365184 3 718 113 103 4 11
11 13703082 3 720 110 111 4 11
11 12511318 3 716 109 109 4 11
11 12311449 3 715 107 103 4 11
11 11946779 3 714 101 102 4 11
11 11240152 3 712 100 91 4 11
11 9989562 3 711 89 82 4 11
11 9502024 3 710 80 76 4 11
11 7862473 3 706 74 68 4 11
11 7722287 3 704 66 63 4 11
11 7803281 3 705 66 63 4 11
11 6946404 3 703 61 52 4 11
11 6785798 3 702 61 52 4 11
11 5873713 3 700 50 38 4 11
11 445841 3 688 50 38 2 11
11 2225077 3 695 36 36 2 11
11 537139 3 689 34 32 2 11
11 661689 3 690 30 28 2 11
11 971740 3 691 27 28 2 11
11 2844808 3 698 26 18 2 11
11 2207451 3 694 26 18 2 11
11 2495347 3 696 16 2 2 11
11 1982232 3 692 5 2 2 11
11 3131037 3 699 0 0 2 11
5 1379420 4 315 0 7 3 5
5 718498 4 311 0 19 3 5
5 1532580 4 317 0 7 3 5
5 1216850 4 314 0 19 3 5
5 1690032 4 318 0 7 3 5
5 207606 4 308 0 7 3 5
5 1502106 4 316 0 7 3 5
5 647562 4 310 3 7 3 5
5 3609933 4 322 7 19 3 5
5 4617901 4 325 19 32 3 5
5 4410234 4 324 32 33 3 5
5 4901212 4 326 33 37 3 5
5 5481298 4 327 37 41 3 5
5 5753189 4 328 41 43 3 5
5 5997345 4 329 43 46 3 5
5 7035336 4 334 46 47 3 5
5 7996196 4 337 47 49 3 5
5 7000860 4 332 46 49 3 5
5 7611606 4 336 50 50 3 5
5 8467387 4 338 50 57 3 5
5 6270549 4 330 57 66 3 5
5 6560551 4 331 66 70 3 5
5 7019954 4 333 70 73 3 5
5 2244764 4 319 73 76 3 5
5 10334299 4 340 76 84 3 5
5 10308207 4 339 84 99 3 5
5 11337278 4 343 88 92 3 5
5 10599476 4 341 92 103 3 5
5 10977844 4 342 88 103 3 5
5 12330909 4 344 103 110 3 5
5 12729777 4 347 99 110 3 5
5 12609865 4 346 103 105 3 5
5 12369231 4 345 110 110 3 5
5 17540708 4 361 110 113 2 5
5 17025036 4 358 113 114 2 5
5 17062124 4 359 113 114 2 5
5 15486161 4 356 119 122 2 5
5 16230307 4 357 119 119 2 5
5 15141288 4 353 119 119 2 5
5 14924667 4 352 121 122 2 5
5 15178225 4 355 121 122 2 5
5 15164942 4 354 119 122 2 5
5 17471260 4 360 121 122 2 5
5 14226024 4 350 123 123 2 5
5 13282798 4 348 123 132 2 5
5 13819924 4 349 132 137 2 5
5 19048119 4 363 137 146 3 5
5 19258058 4 364 137 151 3 5
5 18435290 4 362 137 151 3 5
5 19892652 4 365 151 158 3 5
5 14622319 4 351 151 158 2 5
5 21221869 4 368 158 161 3 5
5 21029624 4 367 161 169 3 5
5 21838418 4 369 169 171 3 5
5 23185382 4 370 171 181 3 5
5 23889710 4 372 180 182 3 5
5 23330346 4 371 171 181 3 5
5 24113963 4 374 182 185 3 5
5 24013819 4 373 182 185 3 5
5 25229821 4 376 190 190 3 5
5 25190546 4 375 190 193 3 5
5 26354114 4 377 193 194 3 5
5 26377891 4 378 194 194 3 5
18 4271606 5 1080 0 0 2 18
18 4906807 5 1083 0 1 2 18
18 4219775 5 1079 7 7 2 18
18 8034454 5 1091 7 19 5 18
18 5893938 5 1084 7 19 5 18
18 6537125 5 1086 19 23 5 18
18 6187317 5 1085 19 23 5 18
18 7629909 5 1088 26 26 5 18
18 7648441 5 1089 26 27 5 18
18 8059179 5 1092 27 31 5 18
18 8999744 5 1094 31 46 5 18
18 8488643 5 1093 31 36 5 18
18 9701227 5 1096 36 46 5 18
18 9941145 5 1098 36 46 5 18
18 9511644 5 1095 36 46 5 18
18 12296894 5 1107 51 51 5 18
18 10180775 5 1100 51 56 5 18
18 10570395 5 1102 56 59 5 18
18 10084650 5 1099 51 64 5 18
18 11110836 5 1103 58 64 5 18
18 11181464 5 1104 64 68 5 18
18 11895828 5 1106 68 72 5 18
18 12426923 5 1108 69 72 5 18
18 11797672 5 1105 74 74 5 18
18 13621474 5 1112 74 79 5 18
18 14112903 5 1113 79 87 5 18
18 16749787 5 1119 79 86 2 18
18 15424140 5 1117 86 87 2 18
18 17430853 5 1121 83 87 2 18
18 15720546 5 1118 88 88 2 18
18 16877329 5 1120 86 88 2 18
18 17486774 5 1122 90 90 2 18
18 17882412 5 1123 90 94 2 18
18 14277349 5 1114 94 103 2 18
18 18144432 5 1124 103 112 5 18
7 2362548 6 426 0 0 2 7
7 1574097 6 424 6 6 2 7
7 3519886 6 431 6 6 2 7
7 3850264 6 433 16 20 1 7
7 2995400 6 428 6 6 1 7
7 1702613 6 425 20 28 2 7
7 3557790 6 432 6 6 1 7
7 462087 6 423 20 28 2 7
7 3018235 6 429 30 38 1 7
7 2748261 6 427 30 38 1 7
7 3493765 6 430 38 42 1 7
7 4046305 6 434 41 42 1 7
7 7860880 6 446 42 49 1 7
7 7445322 6 444 49 50 1 7
7 6547611 6 438 50 55 1 7
7 7342813 6 443 50 60 1 7
7 5796652 6 435 50 54 1 7
7 6104024 6 436 55 55 1 7
7 6239807 6 437 55 55 1 7
7 7116656 6 441 58 58 1 7
7 6928631 6 439 58 58 1 7
7 7150550 6 442 60 60 1 7
7 7734871 6 445 60 63 1 7
7 8151283 6 447 63 74 1 7
7 8521923 6 449 63 75 1 7
7 8563923 6 450 63 67 1 7
7 8496053 6 448 63 67 1 7
7 8955502 6 453 70 74 1 7
7 8674271 6 451 70 74 1 7
7 7086486 6 440 74 75 1 7
7 10050441 6 454 75 77 1 7
7 11240664 6 459 77 84 1 7
7 10464168 6 458 75 84 1 7
7 10096785 6 455 84 95 1 7
7 10356080 6 457 84 95 1 7
7 12307906 6 462 95 99 1 7
7 16149106 6 473 99 102 1 7
7 8781792 6 452 95 102 1 7
7 14406248 6 469 99 102 1 7
7 11809795 6 461 102 103 1 7
7 12911938 6 464 103 104 1 7
7 14762326 6 471 104 106 1 7
7 11416185 6 460 106 126 1 7
7 13871489 6 468 106 116 1 7
7 13168480 6 466 106 116 1 7
7 13142797 6 465 116 116 1 7
7 14739761 6 470 116 122 1 7
7 12437113 6 463 119 122 1 7
7 15671422 6 472 122 126 1 7
7 16423035 6 474 126 132 1 7
7 17065274 6 475 132 134 1 7
7 18362781 6 476 134 146 1 7
7 18945963 6 477 146 150 1 7
7 23793373 6 490 150 169 2 7
7 24455939 6 495 169 179 1 7
7 21448309 6 481 169 172 2 7
7 22152835 6 483 173 173 2 7
7 23172316 6 488 173 175 2 7
7 22792601 6 486 183 183 2 7
7 22271930 6 485 183 183 2 7
7 20237788 6 479 183 183 2 7
7 24290964 6 494 183 187 1 7
7 24081069 6 492 187 188 1 7
4 1283220 7 227 0 0 1 4
4 2978068 7 233 8 8 1 4
4 4765090 7 239 8 10 1 4
4 1305104 7 228 10 19 1 4
4 2490105 7 229 10 14 1 4
4 3562901 7 235 17 19 1 4
4 3654630 7 236 10 19 1 4
4 5394890 7 240 19 21 1 4
4 5708130 7 242 19 21 1 4
4 6129510 7 244 21 26 1 4
4 6357165 7 245 21 26 1 4
4 5887314 7 243 21 26 1 4
4 8193806 7 253 26 26 1 4
4 16064638 7 276 27 27 1 4
4 6554747 7 247 27 28 1 4
4 7183205 7 248 28 29 1 4
4 7400130 7 249 29 31 1 4
4 7936058 7 252 31 33 1 4
4 7873056 7 251 33 47 1 4
4 7759483 7 250 33 41 1 4
4 9013884 7 256 47 47 1 4
4 4341097 7 238 47 50 1 4
4 9737956 7 258 47 50 1 4
4 8802777 7 254 50 55 1 4
4 11768770 7 266 50 62 1 4
4 9942301 7 259 50 56 1 4
4 9568875 7 257 51 56 1 4
4 10282274 7 261 56 61 1 4
4 11031340 7 264 56 72 1 4
4 11663389 7 265 60 62 1 4
4 10903395 7 263 62 72 1 4
4 10367192 7 262 56 72 1 4
4 15048328 7 274 72 73 1 4
4 16448043 7 278 73 75 1 4
4 14728040 7 273 75 85 1 4
4 12583073 7 268 64 78 1 4
4 14582487 7 272 82 82 1 4
4 14089427 7 270 64 82 1 4
4 14536038 7 271 83 83 1 4
4 15651354 7 275 83 85 1 4
4 16225473 7 277 85 91 1 4
4 16534728 7 279 91 94 1 4
4 17635317 7 280 85 99 1 4
4 17924908 7 281 94 99 1 4
4 18444543 7 284 99 107 1 4
4 18209548 7 282 99 101 1 4
4 19376667 7 287 107 107 1 4
4 19236993 7 286 107 109 1 4
4 19690035 7 288 109 112 1 4
4 18864894 7 285 107 112 1 4
4 19974182 7 289 112 116 1 4
4 20403269 7 291 110 116 1 4
4 20902339 7 293 117 120 1 4
4 20843153 7 292 112 120 1 4
4 21203483 7 295 120 125 1 4
4 21057052 7 294 125 131 1 4
4 23062959 7 298 131 134 1 4
4 23376016 7 299 134 136 1 4
4 25350983 7 304 146 146 2 4
4 22689865 7 297 136 138 1 4
4 24671608 7 301 142 146 2 4
4 24916092 7 303 142 146 2 4
4 26087036 7 307 142 146 2 4
4 24759169 7 302 146 146 2 4
4 25805330 7 306 146 151 2 4
4 24197063 7 300 151 155 2 4
12 55381 8 741 0 0 1 12
12 9705 8 739 18 18 1 12
12 25302 8 740 18 19 1 12
12 2407185 8 748 19 26 1 12
12 1124164 8 743 19 26 1 12
12 2353177 8 747 26 27 1 12
12 2331402 8 746 26 27 1 12
12 3358289 8 753 36 36 1 12
12 3199084 8 752 36 38 1 12
12 3037929 8 750 36 38 1 12
12 3973459 8 754 38 43 1 12
12 7075543 8 760 43 58 1 12
12 4925619 8 757 43 53 2 12
12 5947080 8 758 53 58 1 12
12 4659930 8 756 58 64 2 12
12 10767881 8 767 64 68 1 12
12 7227181 8 761 68 70 1 12
12 7458856 8 762 68 70 1 12
12 9227481 8 765 80 87 1 12
12 9184531 8 764 80 87 1 12
12 8283458 8 763 80 87 1 12
12 9911202 8 766 87 91 1 12
12 10882753 8 768 91 94 1 12
12 11143542 8 770 94 96 1 12
12 13839321 8 781 96 116 1 12
12 11203445 8 771 94 101 1 12
12 11462772 8 772 96 101 1 12
12 10996135 8 769 96 101 1 12
12 12698951 8 775 101 109 1 12
12 13553153 8 779 101 113 1 12
12 12382346 8 774 108 109 1 12
12 13473898 8 777 113 113 1 12
12 13493465 8 778 113 113 1 12
12 13680542 8 780 114 123 1 12
12 13453219 8 776 113 116 1 12
12 14372040 8 783 116 129 1 12
12 14646535 8 785 113 129 1 12
12 14192936 8 782 116 123 1 12
12 14523744 8 784 129 129 1 12
12 15453668 8 787 129 129 1 12
12 17017829 8 790 131 133 1 12
12 15024581 8 786 131 133 1 12
12 16964361 8 789 133 139 1 12
12 17502498 8 793 133 139 1 12
12 16839207 8 788 133 139 1 12
12 17516508 8 794 136 139 1 12
12 17306645 8 792 141 141 1 12
12 17847184 8 797 141 160 1 12
12 18117014 8 798 141 160 1 12
12 19201853 8 800 160 162 1 12
12 19278452 8 801 162 167 1 12
12 19303659 8 802 162 167 1 12
12 19472347 8 804 171 172 1 12
12 18602906 8 799 160 172 1 12
12 19776482 8 806 172 175 1 12
12 21671431 8 813 181 182 1 12
12 20757651 8 811 162 182 1 12
12 20189837 8 808 175 178 1 12
12 20646435 8 810 178 181 1 12
12 21724660 8 814 181 182 1 12
10 22540637 9 684 172 177 1 10
10 21590033 9 682 172 183 1 10
10 23161255 9 686 172 177 1 10
10 23033655 9 685 166 177 1 10
10 21795379 9 683 165 176 1 10
10 20611538 9 680 165 170 1 10
10 18702189 9 674 159 165 1 10
10 19552284 9 677 159 165 1 10
10 19767815 9 679 152 163 1 10
10 19222074 9 676 152 149 1 10
10 19748984 9 678 159 150 1 10
10 19003322 9 675 139 149 1 10
10 17939044 9 672 138 144 1 10
10 17957520 9 673 138 144 1 10
10 17573701 9 671 138 144 1 10
10 17413044 9 670 138 144 1 10
10 16516859 9 667 127 137 1 10
10 16729347 9 669 127 137 1 10
10 15854842 9 665 126 134 1 10
10 15413350 9 664 123 129 1 10
10 16351328 9 666 126 129 1 10
10 14712763 9 662 118 128 1 10
10 15046660 9 663 117 123 1 10
10 13571093 9 658 117 124 1 10
10 13883196 9 659 122 118 1 10
10 14304470 9 660 116 118 1 10
10 14354622 9 661 122 118 1 10
10 12535658 9 657 107 107 1 10
10 11872618 9 656 96 102 1 10
10 11763339 9 655 96 102 1 10
10 11273710 9 654 89 100 1 10
10 11124022 9 652 89 100 1 10
10 11170193 9 653 86 97 1 10
10 9334735 9 648 86 84 1 10
10 10343493 9 650 86 86 1 10
10 9347786 9 649 75 84 1 10
10 8382235 9 647 73 71 1 10
10 8020793 9 645 73 67 1 10
10 8033333 9 646 68 67 1 10
10 7795562 9 644 68 67 1 10
10 6505234 9 643 55 66 1 10
10 972365 9 622 37 32 2 10
10 4156763 9 638 37 32 1 10
10 4448595 9 639 21 32 1 10
10 3586326 9 636 19 30 1 10
10 3646138 9 637 19 28 1 10
10 2802481 9 632 19 28 1 10
10 2213932 9 626 0 11 2 10
10 2724135 9 630 17 26 1 10
10 3258544 9 634 17 27 1 10
10 2752927 9 631 15 26 1 10
10 2830979 9 633 0 11 1 10
10 2699690 9 629 0 11 1 10
10 351620 9 618 0 11 2 10
10 412042 9 619 12 22 2 10
10 1533917 9 623 12 22 2 10
10 2529580 9 628 0 11 2 10
10 1922308 9 624 0 11 2 10
10 2168789 9 625 0 11 2 10
10 2437306 9 627 0 0 2 10
3 29155195 10 223 191 191 1 3
3 29752701 10 226 191 178 1 3
3 29320779 10 225 191 178 1 3
3 25914341 10 218 174 174 1 3
3 25952533 10 219 174 172 1 3
3 28832943 10 222 172 166 1 3
3 28654787 10 221 166 165 1 3
3 24814544 10 216 165 153 1 3
3 25438208 10 217 165 153 1 3
3 24120112 10 215 153 149 1 3
3 23765600 10 214 149 146 1 3
3 23148618 10 213 146 137 1 3
3 22910824 10 212 137 134 1 3
3 22473172 10 211 134 132 1 3
3 22378151 10 210 132 131 1 3
3 22367690 10 209 131 127 1 3
3 21936891 10 207 127 124 1 3
3 21921041 10 206 127 124 1 3
3 21976923 10 208 127 124 1 3
3 21890297 10 205 120 109 1 3
3 21457637 10 203 120 109 1 3
3 19004099 10 202 109 102 1 3
3 17781558 10 198 102 98 1 3
3 18845851 10 201 109 97 1 3
3 18456396 10 200 97 96 1 3
3 17547180 10 197 96 90 1 3
3 16818655 10 196 90 88 1 3
3 14873573 10 194 88 86 1 3
3 16431352 10 195 90 86 1 3
3 14176926 10 193 86 84 1 3
3 17969085 10 199 84 78 1 3
3 13305739 10 190 84 78 1 3
3 12226396 10 189 78 78 1 3
3 13525736 10 191 69 63 1 3
3 11117271 10 188 69 63 1 3
3 8347278 10 183 63 59 1 3
3 9029673 10 186 59 56 1 3
3 8922619 10 185 56 52 1 3
3 8125659 10 182 52 44 1 3
3 7218300 10 179 44 39 1 3
3 7548443 10 181 44 39 1 3
3 6606421 10 177 37 35 1 3
3 6770234 10 178 37 37 1 3
3 6563338 10 176 35 35 1 3
3 6317478 10 174 35 31 1 3
3 5965060 10 173 31 20 1 3
3 5915892 10 172 31 14 1 3
3 4567449 10 169 23 14 1 3
3 4632124 10 170 20 14 1 3
3 4681306 10 171 12 12 1 3
3 3904271 10 167 12 10 1 3
3 894879 10 158 10 7 1 3
3 3341949 10 166 10 7 1 3
3 3196287 10 165 10 7 1 3
3 179776 10 157 0 0 1 3
3 70185 10 156 7 0 1 3
3 2445668 10 163 7 1 1 3
3 920037 10 159 4 1 1 3
3 981333 10 161 1 0 1 3
8 2862726 11 504 0 0 2 8
8 2191926 11 503 8 8 2 8
8 1424749 11 500 8 11 2 8
8 2009558 11 502 8 11 2 8
8 1453067 11 501 13 13 2 8
8 1006801 11 499 13 18 2 8
8 3788402 11 506 18 25 1 8
8 3304035 11 505 25 31 1 8
8 4483339 11 507 25 32 1 8
8 4966835 11 508 18 36 1 8
8 5826575 11 510 36 39 1 8
8 8681177 11 517 36 39 1 8
8 5159180 11 509 41 41 1 8
8 7843654 11 514 41 45 1 8
8 6200877 11 511 45 47 1 8
8 6466271 11 512 47 49 1 8
8 8379553 11 516 49 59 1 8
8 8959316 11 519 49 59 1 8
8 8194109 11 515 59 60 1 8
8 9711199 11 520 60 62 1 8
8 9945699 11 521 62 65 1 8
8 11594382 11 523 65 73 1 8
8 11671468 11 524 73 74 1 8
8 11452388 11 522 74 88 1 8
8 12667276 11 525 88 96 1 8
8 14664048 11 530 96 98 1 8
8 13434135 11 526 98 103 1 8
8 13976022 11 528 103 105 1 8
8 13751972 11 527 103 105 1 8
8 14064952 11 529 105 105 1 8
8 15020286 11 531 105 111 1 8
8 16895460 11 536 111 119 1 8
8 16724318 11 534 111 119 1 8
8 16799214 11 535 120 124 1 8
8 16225025 11 533 111 124 1 8
8 17492627 11 538 124 132 1 8
8 17320453 11 537 124 132 1 8
8 17817265 11 539 132 134 1 8
8 18173675 11 540 134 137 1 8
8 18374938 11 541 134 137 1 8
8 18553200 11 542 138 138 1 8
8 19303604 11 546 138 142 1 8
8 18896972 11 543 138 142 1 8
8 19049471 11 544 140 142 1 8
8 19101649 11 545 146 146 1 8
8 21110143 11 549 146 152 1 8
8 20941548 11 548 152 156 1 8
8 20706832 11 547 152 153 1 8
8 21302160 11 550 156 156 1 8
8 21546029 11 551 156 158 1 8
8 21679868 11 552 158 159 1 8
8 21981834 11 556 159 163 1 8
8 21767596 11 553 163 164 1 8
8 21952175 11 555 163 164 1 8
8 25224014 11 566 167 167 1 8
8 21791521 11 554 167 168 1 8
8 23337900 11 560 168 171 1 8
8 23279089 11 559 168 174 1 8
8 24332897 11 564 168 171 1 8
8 22029630 11 557 173 174 1 8
8 23197428 11 558 168 174 1 8
8 23436896 11 561 173 174 1 8
8 23558346 11 562 174 174 1 8
8 24450542 11 565 174 181 1 8
17 15678762 12 1067 144 151 2 17
17 15810281 12 1069 138 145 2 17
17 17975395 12 1078 138 126 2 17
17 16891711 12 1072 138 131 2 17
17 17329754 12 1074 138 126 2 17
17 17777732 12 1077 138 131 2 17
17 17535364 12 1076 138 131 2 17
17 17400288 12 1075 138 131 2 17
17 15771293 12 1068 119 126 1 17
17 15373539 12 1065 119 121 1 17
17 14885902 12 1063 114 113 1 17
17 14465685 12 1062 106 110 1 17
17 13910027 12 1061 103 106 1 17
17 13718054 12 1060 99 101 1 17
17 13221006 12 1057 94 83 1 17
17 13280162 12 1058 94 90 1 17
17 13164366 12 1055 82 89 1 17
17 12655616 12 1054 82 87 1 17
17 12370286 12 1053 80 83 1 17
17 11324804 12 1050 76 79 2 17
17 10862665 12 1048 72 74 2 17
17 9564206 12 1044 67 71 2 17
17 9872286 12 1046 67 63 2 17
17 11379014 12 1051 76 71 2 17
17 9770484 12 1045 63 63 2 17
17 8064246 12 1043 67 61 1 17
17 11650332 12 1052 63 63 2 17
17 7769891 12 1042 56 59 1 17
17 7413432 12 1041 56 59 1 17
17 7130920 12 1040 52 58 1 17
17 6776714 12 1039 51 53 1 17
17 5906633 12 1035 46 45 1 17
17 4671855 12 1029 51 47 1 17
17 6235443 12 1038 40 47 1 17
17 5925338 12 1036 38 44 1 17
17 5628052 12 1033 40 39 1 17
17 5766566 12 1034 38 44 1 17
17 4567768 12 1028 37 31 1 17
17 5447703 12 1031 37 31 1 17
17 5600760 12 1032 37 39 1 17
17 4880086 12 1030 29 33 1 17
17 4164240 12 1026 29 33 1 17
17 3558499 12 1024 26 31 1 17
17 4547888 12 1027 26 31 1 17
17 2969233 12 1022 20 27 1 17
17 3160700 12 1023 20 23 1 17
17 2014906 12 1020 16 18 1 17
17 2236323 12 1021 16 18 1 17
17 845191 12 1018 11 10 1 17
17 175311 12 1015 3 7 1 17
17 219240 12 1016 0 0 1 17
21 1325205 13 1211 0 0 6 21
21 2836194 13 1216 10 10 6 21
21 2794764 13 1215 10 12 6 21
21 3795271 13 1220 12 15 6 21
21 2145915 13 1212 15 28 6 21
21 2590254 13 1214 28 31 6 21
21 2240929 13 1213 33 38 6 21
21 3575983 13 1218 31 32 6 21
21 3629224 13 1219 30 32 6 21
21 3987134 13 1221 33 38 6 21
21 3543553 13 1217 33 38 6 21
21 4106318 13 1222 38 39 6 21
21 4339445 13 1223 39 43 6 21
21 5018184 13 1226 43 44 6 21
21 5843570 13 1228 44 53 6 21
21 5607087 13 1227 56 61 6 21
21 6848287 13 1230 56 61 6 21
21 7205858 13 1231 61 64 6 21
21 8004533 13 1232 61 72 6 21
21 8020530 13 1233 64 72 6 21
21 8809280 13 1235 72 73 6 21
21 8831039 13 1236 73 74 6 21
21 10772409 13 1238 74 87 6 21
21 9977500 13 1237 87 88 6 21
21 11476577 13 1239 88 103 6 21
21 11577672 13 1240 88 97 6 21
21 12403296 13 1243 97 103 6 21
21 14235397 13 1244 103 107 6 21
21 12125119 13 1241 97 107 6 21
21 15028779 13 1249 107 123 6 21
21 12197251 13 1242 109 110 6 21
21 14811892 13 1247 107 113 6 21
21 14865377 13 1248 113 113 6 21
21 14422934 13 1245 113 123 6 21
15 18747362 14 967 151 155 1 15
15 19607952 14 969 151 150 1 15
15 18730901 14 966 146 150 1 15
15 18212341 14 965 140 144 1 15
15 16435525 14 960 140 140 1 15
15 14639597 14 955 136 139 1 15
15 18106110 14 964 135 134 1 15
15 16466193 14 961 130 133 1 15
15 17301095 14 963 129 130 1 15
15 16800315 14 962 126 126 1 15
15 15407111 14 959 122 122 1 15
15 15242716 14 957 118 119 1 15
15 14570617 14 954 115 107 1 15
15 15388414 14 958 118 111 1 15
15 14763822 14 956 107 107 1 15
15 13763582 14 953 103 106 1 15
15 12914240 14 951 102 97 1 15
15 12523596 14 950 93 86 1 15
15 12212330 14 949 93 86 1 15
15 12191763 14 948 81 85 1 15
15 11674738 14 945 81 80 1 15
15 12121401 14 947 81 80 1 15
15 11397291 14 943 74 74 1 15
15 11355609 14 942 74 74 1 15
15 11285430 14 941 70 71 1 15
15 10206118 14 939 67 65 1 15
15 10131878 14 938 67 65 1 15
15 9386924 14 935 52 56 1 15
15 9708464 14 937 52 53 1 15
15 9247172 14 934 49 49 2 15
15 7075936 14 930 45 43 1 15
15 7644824 14 932 49 43 2 15
15 7256847 14 931 45 43 2 15
15 5968965 14 929 45 41 2 15
15 5369813 14 925 39 41 2 15
15 5498167 14 927 39 41 1 15
15 4331665 14 921 36 35 1 15
15 4532057 14 922 31 35 1 15
15 4797158 14 923 31 28 1 15
15 4205362 14 919 24 24 1 15
15 3593222 14 917 20 20 1 15
15 2531222 14 915 16 15 1 15
15 1185401 14 914 6 10 1 15
15 1175178 14 913 6 4 1 15
15 432296 14 912 0 0 1 15
13 1180606 15 819 0 7 1 13
13 1842412 15 821 0 0 1 13
13 715858 15 818 4 4 1 13
13 681433 15 817 4 5 1 13
13 295255 15 815 4 5 1 13
13 396632 15 816 4 5 1 13
13 1792631 15 820 4 7 1 13
13 2333927 15 825 7 9 1 13
13 2166002 15 823 7 9 1 13
13 2624200 15 826 16 20 1 13
13 3094325 15 827 16 20 1 13
